Year,Alpha3,Country,Fitch,Moody,S&P
2018,CYP,Cyprus,11.0,12.0,10.0
2019,CYP,Cyprus,10.0,12.0,9.75
2020,CYP,Cyprus,10.0,11.5,9.5
2021,CYP,Cyprus,9.666666666666666,11.0,9.90292491474976
2022,CYP,Cyprus,9.333333333333334,11.0,9.0
2023,CYP,Cyprus,9.0,9.0,9.0
2024,CYP,Cyprus,8.524032540209816,9.0,8.0
2006,CZE,Czechia,4.687500015625078,4.687499989583334,4.0
2007,CZE,Czechia,4.687500015625078,4.687499989583334,4.0
2008,CZE,Czechia,5.0,4.99999996666667,4.0
2009,CZE,Czechia,5.0,4.99999996666667,4.0
2010,CZE,Czechia,5.0,4.99999996666667,4.0
2011,CZE,Czechia,5.0,4.99999996666667,4.0
2012,CZE,Czechia,5.0,4.99999996666667,4.0
2013,CZE,Czechia,5.0,5.0,4.0
2014,CZE,Czechia,5.0,5.0,4.0
2015,CZE,Czechia,5.0,5.0,4.0
2016,CZE,Czechia,5.0,5.0,4.0
2017,CZE,Czechia,5.0,5.0,4.0
2018,CZE,Czechia,5.0,5.0,4.0
2019,CZE,Czechia,4.0,4.0,4.0
2020,CZE,Czechia,4.0,4.0,4.0
2021,CZE,Czechia,4.000000083333752,4.0,4.0
2022,CZE,Czechia,4.000000083333752,4.0,4.0
2023,CZE,Czechia,4.000000083333752,4.0,4.0
2024,CZE,Czechia,4.687500015625078,4.687499989583334,4.0
2006,DEU,Germany,1.0,1.0,
2007,DEU,Germany,1.0,1.0,
2008,DEU,Germany,1.0,1.0,
2009,DEU,Germany,1.0,1.0,
2010,DEU,Germany,1.0,1.0,
2011,DEU,Germany,1.0,1.0,
2012,DEU,Germany,1.0,1.0,
2013,DEU,Germany,1.0,1.0,
2014,DEU,Germany,1.0,1.0,
2015,DEU,Germany,1.0,1.0,
2016,DEU,Germany,1.0,1.0,
2017,DEU,Germany,1.0,1.0,
2018,DEU,Germany,1.0,1.0,
2019,DEU,Germany,1.0,1.0,
2020,DEU,Germany,1.0,1.0,
2021,DEU,Germany,1.0,1.0,
2022,DEU,Germany,1.0,1.0,
2023,DEU,Germany,1.0,1.0,
2024,DEU,Germany,1.0,1.0,
2006,DNK,Denmark,1.0,1.0,
2007,DNK,Denmark,1.0,1.0,
2008,DNK,Denmark,1.0,1.0,
2009,DNK,Denmark,1.0,1.0,
2010,DNK,Denmark,1.0,1.0,
2011,DNK,Denmark,1.0,1.0,
2012,DNK,Denmark,1.0,1.0,
2013,DNK,Denmark,1.0,1.0,
2014,DNK,Denmark,1.0,1.0,
2015,DNK,Denmark,1.0,1.0,
2016,DNK,Denmark,1.0,1.0,
2017,DNK,Denmark,1.0,1.0,
2018,DNK,Denmark,1.0,1.0,
2019,DNK,Denmark,1.0,1.0,
2020,DNK,Denmark,1.0,1.0,
2021,DNK,Denmark,1.0,1.0,
2022,DNK,Denmark,1.0,1.0,
2023,DNK,Denmark,1.0,1.0,
2024,DNK,Denmark,1.0,1.0,
2006,DOM,Dominican Republic,15.0,14.16456675103223,13.736539805138817
2007,DOM,Dominican Republic,15.0,15.0,13.020907427543056
2008,DOM,Dominican Republic,15.0,14.666666666666666,13.306440863230454
2009,DOM,Dominican Republic,15.0,14.333333333333334,13.591974298917853
2010,DOM,Dominican Republic,15.0,14.0,13.877507734605253
2011,DOM,Dominican Republic,15.0,14.0,14.0
2012,DOM,Dominican Republic,15.0,14.0,13.75
2013,DOM,Dominican Republic,15.0,14.437892320667515,13.5
2014,DOM,Dominican Republic,15.0,14.0,13.877507734605253
2015,DOM,Dominican Republic,14.0,14.0,13.0
2016,DOM,Dominican Republic,14.0,14.0,13.0
2017,DOM,Dominican Republic,13.0,13.0,13.0
2018,DOM,Dominican Republic,13.0,13.0,12.976629191297407
2019,DOM,Dominican Republic,13.0,13.0,12.976629191297407
2020,DOM,Dominican Republic,13.0,13.0,12.976629191297407
2021,DOM,Dominican Republic,13.028166998537856,13.0,13.0
2022,DOM,Dominican Republic,11.90798099549618,13.0,12.0
2023,DOM,Dominican Republic,13.140726575822358,13.0,13.100291181643804
2024,DOM,Dominican Republic,14.059826364992036,13.755692170649985,13.260614256643166
2006,ECU,Ecuador,16.42395444383356,17.253869867729406,16.736474662441516
2007,ECU,Ecuador,18.0,18.0,18.72795956484038
2008,ECU,Ecuador,18.0,16.0,19.536221965444
2009,ECU,Ecuador,18.0,19.0,18.32382836453857
2010,ECU,Ecuador,16.0,18.5,16.0
2011,ECU,Ecuador,16.0,18.0,15.5
2012,ECU,Ecuador,16.0,17.0,15.0
2013,ECU,Ecuador,15.0,16.5,14.5
2014,ECU,Ecuador,15.0,16.0,14.0
2015,ECU,Ecuador,15.0,16.0,15.0
2016,ECU,Ecuador,15.0,16.0,15.5
2017,ECU,Ecuador,15.0,16.0,16.0
2018,ECU,Ecuador,16.0,16.0,17.0
2019,ECU,Ecuador,16.0,16.5,18.0
2020,ECU,Ecuador,18.0,17.0,19.0
2021,ECU,Ecuador,17.845383938126137,19.0,18.25
2022,ECU,Ecuador,17.435691075595663,19.0,17.5
2023,ECU,Ecuador,17.391189706519754,19.0,17.418534029124192
2024,ECU,Ecuador,15.958915268762388,17.0696576191292,16.0
2006,EGY,Egypt,13.705497469463188,14.794375401858348,14.69748971083786
2007,EGY,Egypt,11.0,12.32468930836258,12.611376272442325
2008,EGY,Egypt,11.0,12.32468930836258,12.611376272442325
2009,EGY,Egypt,11.0,12.32468930836258,12.611376272442325
2010,EGY,Egypt,11.0,12.32468930836258,12.611376272442325
2011,EGY,Egypt,11.0,12.0,12.0
2012,EGY,Egypt,13.0,15.0,15.0
2013,EGY,Egypt,15.0,16.0,17.0
2014,EGY,Egypt,16.0,17.0,16.6
2015,EGY,Egypt,15.0,16.0,16.2
2016,EGY,Egypt,15.0,16.0,15.708881018129718
2017,EGY,Egypt,15.0,16.0,15.708881018129718
2018,EGY,Egypt,15.0,16.0,15.0
2019,EGY,Egypt,14.0,15.0,15.0
2020,EGY,Egypt,14.25,15.0,15.0
2021,EGY,Egypt,14.5,15.0,15.022720175477204
2022,EGY,Egypt,13.921925215826,15.0,14.86882749357557
2023,EGY,Egypt,15.0,16.0,15.0
2024,EGY,Egypt,16.027029234511417,17.0,16.0
2006,ESP,Spain,6.72493961230994,7.566666666666667,6.464086319230376
2007,ESP,Spain,6.72493961230994,7.566666666666667,6.464086319230376
2008,ESP,Spain,6.72493961230994,7.566666666666667,6.464086319230376
2009,ESP,Spain,6.72493961230994,7.566666666666667,6.464086319230376
2010,ESP,Spain,2.0,2.0,3.0
2011,ESP,Spain,2.0,3.0,4.0
2012,ESP,Spain,6.0,7.0,6.0
2013,ESP,Spain,9.0,10.0,7.5
2014,ESP,Spain,9.0,9.0,9.0
2015,ESP,Spain,8.0,9.0,8.0
2016,ESP,Spain,8.0,9.0,7.666666666666667
2017,ESP,Spain,8.0,8.5,7.333333333333333
2018,ESP,Spain,7.0,8.0,7.0
2019,ESP,Spain,7.0,8.0,6.0
2020,ESP,Spain,6.870595748422305,8.0,6.0
2021,ESP,Spain,6.870595748422305,8.0,6.0
2022,ESP,Spain,6.870595748422305,8.0,6.0
2023,ESP,Spain,7.13115346969108,8.0,6.730647394227821
2024,ESP,Spain,7.13115346969108,8.0,6.730647394227821
2006,EST,Estonia,6.0,5.0,4.840291936686854
2007,EST,Estonia,6.0,5.0,4.840291936686854
2008,EST,Estonia,6.0,5.0,4.840291936686854
2009,EST,Estonia,8.0,5.0,6.520537233835482
2010,EST,Estonia,8.0,5.0,6.520537233835482
2011,EST,Estonia,5.0,5.0,4.0
2012,EST,Estonia,5.0,5.0,4.0
2013,EST,Estonia,5.0,5.0,4.0
2014,EST,Estonia,5.0,5.0,4.00016928811254
2015,EST,Estonia,5.0,5.0,4.00016928811254
2016,EST,Estonia,5.0,5.0,4.00016928811254
2017,EST,Estonia,5.0,5.0,4.00016928811254
2018,EST,Estonia,5.0,5.0,4.00016928811254
2019,EST,Estonia,4.0,5.0,3.1600466395382263
2020,EST,Estonia,4.0,5.0,3.1600466395382263
2021,EST,Estonia,5.488013587055056,5.0,4.410160555409485
2022,EST,Estonia,4.99929564067311,5.0,4.0
2023,EST,Estonia,5.59474818899698,5.0,4.5
2024,EST,Estonia,6.1902007373208505,5.0,5.0
2006,FIN,Finland,1.642857130158729,1.6428572063492022,2.0
2007,FIN,Finland,1.642857130158729,1.6428572063492022,2.0
2008,FIN,Finland,1.642857130158729,1.6428572063492022,2.0
2009,FIN,Finland,1.642857130158729,1.6428572063492022,2.0
2010,FIN,Finland,1.642857130158729,1.6428572063492022,2.0
2011,FIN,Finland,1.0,1.0000002222222069,2.0
2012,FIN,Finland,1.0,1.0000002222222069,2.0
2013,FIN,Finland,1.0,1.0000002222222069,2.0
2014,FIN,Finland,1.0,1.0000002222222069,2.0
2015,FIN,Finland,1.0,1.0,2.0
2016,FIN,Finland,2.0,2.0,2.0
2017,FIN,Finland,2.0,2.0,2.0
2018,FIN,Finland,2.0,2.0,2.0
2019,FIN,Finland,2.0,2.0,2.0
2020,FIN,Finland,2.0,2.0,2.0
2021,FIN,Finland,1.9999999555555503,2.0,2.0
2022,FIN,Finland,1.9999999555555503,2.0,2.0
2023,FIN,Finland,1.9999999555555503,2.0,2.0
2024,FIN,Finland,1.9999999555555503,2.0,2.0
2006,FJI,Fiji,,13.765888092811975,14.064879121190293
2007,FJI,Fiji,,13.765888092811975,14.064879121190293
2008,FJI,Fiji,,13.765888092811975,14.064879121190293
2009,FJI,Fiji,,14.0,14.278880899914224
2010,FJI,Fiji,,14.0,14.278880899914224
2011,FJI,Fiji,,14.0,15.0
2012,FJI,Fiji,,14.254209484991648,14.75
2013,FJI,Fiji,,14.0,14.5
2014,FJI,Fiji,,14.0,14.278880899914224
2015,FJI,Fiji,,14.0,14.0
2016,FJI,Fiji,,14.0,13.75
2017,FJI,Fiji,,13.0,13.5
2018,FJI,Fiji,,13.0,13.364780539559389
2019,FJI,Fiji,,13.0,13.0
2020,FJI,Fiji,,13.0,13.5
2021,FJI,Fiji,,14.0,14.0
2022,FJI,Fiji,,14.0,14.278880899914224
2023,FJI,Fiji,,14.0,14.278880899914224
2024,FJI,Fiji,,14.0,14.278880899914224
2006,FRA,France,2.697004111796834,2.716201668901254,3.0952810653890253
2007,FRA,France,2.697004111796834,2.716201668901254,3.0952810653890253
2008,FRA,France,2.697004111796834,2.716201668901254,3.0952810653890253
2009,FRA,France,2.697004111796834,2.716201668901254,3.0952810653890253
2010,FRA,France,2.697004111796834,2.716201668901254,3.0952810653890253
2011,FRA,France,1.0,2.026823364617556,2.6140640057881552
2012,FRA,France,1.0,2.0,2.0
2013,FRA,France,1.0,2.0,3.0
2014,FRA,France,2.0,2.0,3.0
2015,FRA,France,3.0,3.0,3.0
2016,FRA,France,3.0,3.0,3.188596524504338
2017,FRA,France,3.0,3.0,3.188596524504338
2018,FRA,France,3.0,3.0,3.188596524504338
2019,FRA,France,3.0,3.0,3.188596524504338
2020,FRA,France,3.0,3.0,3.188596524504338
2021,FRA,France,3.333333333333333,3.0,3.2768882871365053
2022,FRA,France,3.6666666666666665,3.0,3.0
2023,FRA,France,4.0,3.0,3.5
2024,FRA,France,3.758057565155668,3.0,4.0
2006,GAB,Gabon,,,
2007,GAB,Gabon,,,13.0
2008,GAB,Gabon,,,13.0
2009,GAB,Gabon,,,13.0
2010,GAB,Gabon,,,13.0
2011,GAB,Gabon,,,13.0
2012,GAB,Gabon,,,13.0
2013,GAB,Gabon,,,13.0
2014,GAB,Gabon,,,13.0
2015,GAB,Gabon,,,14.0
2016,GAB,Gabon,,,14.0
2017,GAB,Gabon,,,14.0
2018,GAB,Gabon,,,15.0
2019,GAB,Gabon,,,15.0
2020,GAB,Gabon,,,18.0
2021,GAB,Gabon,,,16.0
2022,GAB,Gabon,,,
2023,GAB,Gabon,,,
2024,GAB,Gabon,,,
2006,GBR,United Kingdom,2.643325791449727,2.763233553552055,3.0
2007,GBR,United Kingdom,2.643325791449727,2.763233553552055,3.0
2008,GBR,United Kingdom,2.643325791449727,2.763233553552055,3.0
2009,GBR,United Kingdom,2.643325791449727,2.763233553552055,3.0
2010,GBR,United Kingdom,2.643325791449727,2.763233553552055,3.0
2011,GBR,United Kingdom,1.0,1.46101809808835,3.0
2012,GBR,United Kingdom,1.0,1.46101809808835,3.0
2013,GBR,United Kingdom,1.0,2.0,3.0
2014,GBR,United Kingdom,2.0,2.0,3.0
2015,GBR,United Kingdom,2.0,2.0,3.0
2016,GBR,United Kingdom,2.0,2.0,3.0
2017,GBR,United Kingdom,3.0,3.0,3.0
2018,GBR,United Kingdom,3.0,3.0,3.0
2019,GBR,United Kingdom,3.0,3.0,3.0
2020,GBR,United Kingdom,4.0,4.0,3.0
2021,GBR,United Kingdom,4.121078429615476,4.0,3.0
2022,GBR,United Kingdom,4.121078429615476,4.0,3.0
2023,GBR,United Kingdom,4.121078429615476,4.0,3.0
2024,GBR,United Kingdom,2.643325791449727,2.763233553552055,3.0
2006,GEO,Georgia,12.96204762552635,12.515008762569863,12.693946806350334
2007,GEO,Georgia,13.0,12.535427322672696,12.722846773032858
2008,GEO,Georgia,14.0,13.092490215791146,13.490948097057952
2009,GEO,Georgia,14.0,13.092490215791146,13.490948097057952
2010,GEO,Georgia,14.0,13.0,14.0
2011,GEO,Georgia,14.0,13.0,13.0
2012,GEO,Georgia,13.0,13.0,12.875
2013,GEO,Georgia,13.0,12.549749972002662,12.75
2014,GEO,Georgia,13.0,13.0,12.884257421898688
2015,GEO,Georgia,13.0,13.0,12.884257421898688
2016,GEO,Georgia,13.0,13.0,12.884257421898688
2017,GEO,Georgia,13.0,12.0,12.53681845972289
2018,GEO,Georgia,13.0,12.0,12.53681845972289
2019,GEO,Georgia,12.0,12.0,12.0
2020,GEO,Georgia,12.0,12.0,12.0
2021,GEO,Georgia,12.214289668647712,12.0,12.0
2022,GEO,Georgia,12.214289668647712,12.0,12.0
2023,GEO,Georgia,12.444138961089475,12.0,12.217445181007731
2024,GEO,Georgia,12.444138961089475,12.0,12.217445181007731
2006,GHA,Ghana,,,14.0
2007,GHA,Ghana,,,14.0
2008,GHA,Ghana,,,14.0
2009,GHA,Ghana,,,14.0
2010,GHA,Ghana,,,14.0
2011,GHA,Ghana,,,14.0
2012,GHA,Ghana,,,14.0
2013,GHA,Ghana,,,14.0
2014,GHA,Ghana,,,15.0
2015,GHA,Ghana,,,15.0
2016,GHA,Ghana,,,15.0
2017,GHA,Ghana,,,15.0
2018,GHA,Ghana,,,15.0
2019,GHA,Ghana,,,15.0
2020,GHA,Ghana,,,15.0
2021,GHA,Ghana,,,15.5
2022,GHA,Ghana,,,16.0
2023,GHA,Ghana,,,22.0
2024,GHA,Ghana,,,
2006,GRC,Greece,12.89777730492868,13.658049204489632,12.129052709401984
2007,GRC,Greece,6.0,6.922442840406704,6.138385777326654
2008,GRC,Greece,6.0,6.922442840406704,6.138385777326654
2009,GRC,Greece,6.0,6.0,3.865780574572713
2010,GRC,Greece,10.0,7.0,0.1803966400095604
2011,GRC,Greece,11.0,14.0,20.0
2012,GRC,Greece,21.0,21.0,18.33333333333333
2013,GRC,Greece,18.0,19.0,16.666666666666668
2014,GRC,Greece,16.0,17.0,15.0
2015,GRC,Greece,18.0,18.0,16.0
2016,GRC,Greece,18.0,19.0,16.0
2017,GRC,Greece,18.0,18.0,15.5
2018,GRC,Greece,15.0,16.0,15.0
2019,GRC,Greece,13.0,14.0,13.0
2020,GRC,Greece,12.0,13.0,12.5
2021,GRC,Greece,11.666666666666666,13.0,12.0
2022,GRC,Greece,11.333333333333334,13.0,11.0
2023,GRC,Greece,11.0,13.0,11.0
2024,GRC,Greece,10.159991488716347,11.0,10.0
2006,GTM,Guatemala,11.0,11.0,12.0
2007,GTM,Guatemala,11.0,11.0,12.090909090909092
2008,GTM,Guatemala,11.0,11.0,12.181818181818182
2009,GTM,Guatemala,11.709687138558312,11.0,12.545176449504714
2010,GTM,Guatemala,11.709687138558312,11.0,12.545176449504714
2011,GTM,Guatemala,11.0,11.0,12.090408271112707
2012,GTM,Guatemala,11.0,11.0,12.090408271112707
2013,GTM,Guatemala,11.0,11.0,12.090408271112707
2014,GTM,Guatemala,12.0,11.0,12.731209201105385
2015,GTM,Guatemala,12.0,11.0,12.731209201105385
2016,GTM,Guatemala,12.0,11.0,12.731209201105385
2017,GTM,Guatemala,12.0,11.0,13.0
2018,GTM,Guatemala,12.0,11.0,13.0
2019,GTM,Guatemala,12.0,11.0,13.0
2020,GTM,Guatemala,13.0,11.0,13.372010131098056
2021,GTM,Guatemala,12.666666666666666,11.0,13.158409821100497
2022,GTM,Guatemala,12.333333333333334,11.0,13.0
2023,GTM,Guatemala,12.0,11.0,12.0
2024,GTM,Guatemala,11.06468135549126,11.0,12.0
2006,HKG,Hong Kong,4.0,4.0,2.8201033355240126
2007,HKG,Hong Kong,3.0,3.0,1.9841259193062093
2008,HKG,Hong Kong,2.6666666666666665,2.6666666666666665,1.7054667805669417
2009,HKG,Hong Kong,2.333333333333333,2.333333333333333,1.4268076418276745
2010,HKG,Hong Kong,2.0,2.0,1.0
2011,HKG,Hong Kong,2.0,2.0,1.1428571428571428
2012,HKG,Hong Kong,2.0,2.0,1.2857142857142856
2013,HKG,Hong Kong,2.0,2.0,1.1481485030884064
2014,HKG,Hong Kong,2.0,2.0,1.1481485030884064
2015,HKG,Hong Kong,2.0,2.0,1.1481485030884064
2016,HKG,Hong Kong,2.0,2.0,1.1481485030884064
2017,HKG,Hong Kong,2.0,3.0,2.0
2018,HKG,Hong Kong,2.0,3.0,1.9841259193062093
2019,HKG,Hong Kong,2.0,3.0,1.9841259193062093
2020,HKG,Hong Kong,4.0,4.0,2.8201033355240126
2021,HKG,Hong Kong,3.522195860508143,4.0,2.8201033355240126
2022,HKG,Hong Kong,3.522195860508143,4.0,2.8201033355240126
2023,HKG,Hong Kong,3.522195860508143,4.0,2.8201033355240126
2024,HKG,Hong Kong,2.587032643418023,2.8333333333333326,1.844796349936575
2006,HND,Honduras,,14.743457301872647,13.698661902909269
2007,HND,Honduras,,14.743457301872647,13.698661902909269
2008,HND,Honduras,,14.743457301872647,13.698661902909269
2009,HND,Honduras,,15.874172820706006,15.0
2010,HND,Honduras,,15.584543881242032,14.666666666666666
2011,HND,Honduras,,15.294914941778062,14.333333333333334
2012,HND,Honduras,,15.005286002314088,14.0
2013,HND,Honduras,,15.0,15.0
2014,HND,Honduras,,16.0,14.5
2015,HND,Honduras,,16.0,14.0
2016,HND,Honduras,,15.0,13.5
2017,HND,Honduras,,14.0,13.0
2018,HND,Honduras,,14.0,13.0
2019,HND,Honduras,,14.0,13.0
2020,HND,Honduras,,14.0,13.089295223274146
2021,HND,Honduras,,14.0,13.089295223274146
2022,HND,Honduras,,14.0,13.0
2023,HND,Honduras,,14.0,13.0
2024,HND,Honduras,,14.13639918392217,13.0
2006,HRV,Croatia,9.95205247656006,10.642687845218292,10.151636086588445
2007,HRV,Croatia,9.95205247656006,10.642687845218292,10.151636086588445
2008,HRV,Croatia,9.95205247656006,10.642687845218292,10.151636086588445
2009,HRV,Croatia,10.0,10.680010457866288,10.194542350973553
2010,HRV,Croatia,10.0,10.666643515168944,10.0
2011,HRV,Croatia,10.0,10.700998355208789,10.5
2012,HRV,Croatia,10.0,10.735353195248631,11.0
2013,HRV,Croatia,10.0,11.0,11.5
2014,HRV,Croatia,11.0,11.0,12.0
2015,HRV,Croatia,12.0,11.5,11.75
2016,HRV,Croatia,12.0,12.0,11.5
2017,HRV,Croatia,12.0,12.0,11.98163503444155
2018,HRV,Croatia,11.0,12.0,11.0
2019,HRV,Croatia,10.0,12.0,10.0
2020,HRV,Croatia,10.0,11.0,9.333333333333334
2021,HRV,Croatia,9.0,10.0,8.666666666666666
2022,HRV,Croatia,8.0,9.0,8.0
2023,HRV,Croatia,7.935953260936531,9.0,8.0
2024,HRV,Croatia,6.296886364024395,7.0,7.0
2006,HUN,Hungary,8.0,6.0,8.085640959118965
2007,HUN,Hungary,8.0,6.5,8.079233844874924
2008,HUN,Hungary,8.0,7.0,8.072826730630883
2009,HUN,Hungary,9.0,8.0,10.0
2010,HUN,Hungary,10.0,10.0,10.5
2011,HUN,Hungary,10.0,11.0,11.0
2012,HUN,Hungary,11.0,11.0,12.0
2013,HUN,Hungary,11.0,11.0,11.666666666666666
2014,HUN,Hungary,11.0,11.0,11.333333333333334
2015,HUN,Hungary,11.0,11.0,11.0
2016,HUN,Hungary,10.0,10.0,10.0
2017,HUN,Hungary,10.0,10.0,9.666666666666666
2018,HUN,Hungary,10.0,10.0,9.333333333333334
2019,HUN,Hungary,9.0,10.0,9.0
2020,HUN,Hungary,9.0,10.0,9.0
2021,HUN,Hungary,9.098965970487692,9.0,9.0
2022,HUN,Hungary,9.098965970487692,9.0,9.0
2023,HUN,Hungary,9.56543108192334,9.0,10.0
2024,HUN,Hungary,9.363331427935988,9.0,9.566742187073013
2006,IDN,Indonesia,13.0,14.0,13.999746380936246
2007,IDN,Indonesia,13.0,13.0,13.456344740920304
2008,IDN,Indonesia,12.0,12.5,12.659749319480271
2009,IDN,Indonesia,11.5,12.0,12.12560119875627
2010,IDN,Indonesia,11.0,11.5,11.591453078032268
2011,IDN,Indonesia,11.0,11.0,11.0
2012,IDN,Indonesia,10.0,10.0,10.833333333333334
2013,IDN,Indonesia,10.0,10.0,10.666666666666666
2014,IDN,Indonesia,10.0,10.0,10.251456016576292
2015,IDN,Indonesia,10.0,10.089066569944649,10.29985493675481
2016,IDN,Indonesia,10.0,10.0,10.251456016576292
2017,IDN,Indonesia,10.0,10.0,10.0
2018,IDN,Indonesia,9.0,9.0,9.5
2019,IDN,Indonesia,9.0,9.0,9.0
2020,IDN,Indonesia,9.0,9.0,9.0
2021,IDN,Indonesia,9.009602705550677,9.0,9.0
2022,IDN,Indonesia,9.009602705550677,9.0,9.0
2023,IDN,Indonesia,9.079161355791136,9.0,9.2247111434251
2024,IDN,Indonesia,9.079161355791136,9.0,9.2247111434251
2006,IND,India,10.0,9.666666666666666,10.0
2007,IND,India,10.0,9.666666666666666,10.0
2008,IND,India,10.0,9.666666666666666,10.0
2009,IND,India,10.0,9.666666666666666,10.0
2010,IND,India,10.0,9.666666666666666,10.0
2011,IND,India,10.0,9.666666666666666,10.0
2012,IND,India,10.0,9.666666666666666,10.0
2013,IND,India,10.0,9.666666666666666,10.0
2014,IND,India,10.0,9.666666666666666,10.0
2015,IND,India,10.0,10.0,10.0
2016,IND,India,10.0,10.0,10.0
2017,IND,India,10.0,9.0,10.0
2018,IND,India,10.0,9.0,10.0
2019,IND,India,10.0,9.0,10.0
2020,IND,India,10.0,10.0,10.0
2021,IND,India,10.0,10.0,10.0
2022,IND,India,10.0,10.0,10.0
2023,IND,India,10.0,10.0,10.0
2024,IND,India,10.0,9.666666666666666,10.0
2006,IRL,Ireland,4.0,5.145435625134603,4.528940581649026
2007,IRL,Ireland,5.0,5.688526313113233,5.121783837592021
2008,IRL,Ireland,5.0,2.0,10.0
2009,IRL,Ireland,10.0,10.0,9.333333333333334
2010,IRL,Ireland,11.0,3.0,8.666666666666666
2011,IRL,Ireland,11.0,10.0,8.0
2012,IRL,Ireland,10.0,10.0,7.666666666666667
2013,IRL,Ireland,9.0,10.0,7.333333333333333
2014,IRL,Ireland,9.0,10.0,7.0
2015,IRL,Ireland,9.0,9.0,9.0
2016,IRL,Ireland,8.0,9.0,8.0
2017,IRL,Ireland,8.0,6.0,7.0
2018,IRL,Ireland,6.0,7.0,5.5
2019,IRL,Ireland,6.0,6.0,4.0
2020,IRL,Ireland,6.0,6.0,4.0
2021,IRL,Ireland,5.0,6.0,4.0
2022,IRL,Ireland,4.0,5.0,4.0
2023,IRL,Ireland,6.577713463192684,6.0,6.0
2024,IRL,Ireland,4.316376932642011,5.0,3.0
2006,ISL,Iceland,4.0,4.4296199666774925,6.204467051128245
2007,ISL,Iceland,5.0,5.74312058859515,6.2054486181889805
2008,ISL,Iceland,5.0,2.0,10.0
2009,ISL,Iceland,1.0,2.0,9.333333333333334
2010,ISL,Iceland,5.0,3.0,8.666666666666666
2011,ISL,Iceland,8.0,10.0,8.0
2012,ISL,Iceland,8.0,10.5,7.666666666666667
2013,ISL,Iceland,8.0,11.0,7.333333333333333
2014,ISL,Iceland,8.0,10.0,7.0
2015,ISL,Iceland,7.0,8.0,5.0
2016,ISL,Iceland,6.0,7.0,8.0
2017,ISL,Iceland,6.0,6.0,7.0
2018,ISL,Iceland,5.0,7.0,5.5
2019,ISL,Iceland,5.0,6.0,4.0
2020,ISL,Iceland,5.0,6.0,4.0
2021,ISL,Iceland,4.5,6.0,4.0
2022,ISL,Iceland,4.0,5.0,4.0
2023,ISL,Iceland,3.505234521919516,4.0,3.0
2024,ISL,Iceland,3.505234521919516,4.0,3.0
2006,ISR,Israel,7.0,4.796659579671142,5.1228800659619935
2007,ISR,Israel,6.5,4.903375807658426,4.923485448751537
2008,ISR,Israel,6.0,5.0,4.709418088475658
2009,ISR,Israel,6.0,5.0,4.709418088475658
2010,ISR,Israel,6.0,5.0,4.709418088475658
2011,ISR,Israel,6.0,5.201401379829054,5.0
2012,ISR,Israel,6.0,5.103114140092362,4.857142857142857
2013,ISR,Israel,6.0,5.0,4.714285714285714
2014,ISR,Israel,6.0,5.0,4.709418088475658
2015,ISR,Israel,6.0,5.0,4.709418088475658
2016,ISR,Israel,6.0,5.0,4.709418088475658
2017,ISR,Israel,5.0,5.0,4.000320835110296
2018,ISR,Israel,5.0,5.0,4.0
2019,ISR,Israel,5.0,5.0,4.0
2020,ISR,Israel,5.0,5.0,4.0
2021,ISR,Israel,5.859361354881866,5.0,4.609691611505363
2022,ISR,Israel,5.859361354881866,5.0,4.609691611505363
2023,ISR,Israel,4.999775248545458,5.0,4.0
2024,ISR,Israel,4.358484498072665,6.0,5.0
2006,ITA,Italy,3.0,4.200692664252163,5.6259452126237495
2007,ITA,Italy,3.4,4.561599609821242,5.8770262433960445
2008,ITA,Italy,3.8,4.922506555390321,6.1281072741683404
2009,ITA,Italy,7.362515715297218,8.136549926841484,8.364179211362014
2010,ITA,Italy,7.362515715297218,8.136549926841484,8.364179211362014
2011,ITA,Italy,5.0,6.0,6.0
2012,ITA,Italy,7.0,7.0,8.0
2013,ITA,Italy,8.0,9.0,9.0
2014,ITA,Italy,8.0,9.0,10.0
2015,ITA,Italy,8.0,9.0,9.666666666666666
2016,ITA,Italy,8.0,9.0,9.333333333333334
2017,ITA,Italy,9.0,9.0,9.0
2018,ITA,Italy,9.0,9.0,9.0
2019,ITA,Italy,9.0,9.5,9.0
2020,ITA,Italy,9.0,10.0,9.55813215432688
2021,ITA,Italy,9.0,10.0,9.0
2022,ITA,Italy,9.268137460758297,10.0,9.0
2023,ITA,Italy,9.332113983997186,10.0,9.637656497277211
2024,ITA,Italy,7.362515715297218,8.136549926841484,8.364179211362014
2006,JAM,Jamaica,14.0,15.396010386081066,14.025927693302018
2007,JAM,Jamaica,14.5,15.683694803640954,14.321947177601167
2008,JAM,Jamaica,15.0,15.97137922120084,14.617966661900317
2009,JAM,Jamaica,18.0,15.0,15.91949314893768
2010,JAM,Jamaica,18.0,16.0,16.0
2011,JAM,Jamaica,16.0,17.0,15.8
2012,JAM,Jamaica,16.0,18.0,15.6
2013,JAM,Jamaica,18.0,19.0,16.62324540843561
2014,JAM,Jamaica,16.0,19.0,15.64162603011913
2015,JAM,Jamaica,16.0,18.0,15.0
2016,JAM,Jamaica,15.0,16.0,14.75
2017,JAM,Jamaica,15.0,16.0,14.5
2018,JAM,Jamaica,15.0,16.0,14.62300214633744
2019,JAM,Jamaica,14.0,15.0,14.0
2020,JAM,Jamaica,14.0,15.0,14.0
